価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
"3,800万円",7階建 / 6階,"1971年10月
(築49年8ヶ月)",41.31m²,２ＬＤＫ,"
			小田急小田原線 / 代々木上原駅 徒歩2分
							（電車ルート案内）
										
				東京メトロ千代田線 / 代々木上原駅 徒歩2分
									（電車ルート案内）
														
				京王線 / 幡ヶ谷駅 徒歩16分
									（電車ルート案内）
									","
			東京都渋谷区上原１丁目
							（地図を見る）
					",91.99万円,"16,340円","14,626円",東高ペアシテイ,ＲＣ,23戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",11階建 / 4階,"1978年4月
(築43年2ヶ月)",42.12m²,１ＬＤＫ,"
			ＪＲ山手線 / 恵比寿駅 徒歩4分
							（電車ルート案内）
											","
			東京都渋谷区恵比寿１丁目
							（地図を見る）
					",90.22万円,"11,000円","9,500円",ハイライフ恵比寿,ＳＲＣ,93戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",地上12階地下1階建 / 8階,"1982年11月
(築38年7ヶ月)",58.08m²,２ＳＬＤＫ,"
			東京メトロ副都心線 / 西早稲田駅 徒歩4分
							（電車ルート案内）
										
				都営大江戸線 / 東新宿駅 徒歩9分
									（電車ルート案内）
														
				ＪＲ山手線 / 新大久保駅 徒歩14分
									（電車ルート案内）
									","
			東京都新宿区大久保２丁目
							（地図を見る）
					",65.43万円,"18,800円","14,470円",藤和大久保コープ,ＳＲＣ,49戸,空無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,800万円",地上22階地下4階建 / 11階,"1994年10月
(築26年8ヶ月)",34.80m²,１ＬＤＫ,"
			東京メトロ丸ノ内線 / 西新宿駅 徒歩6分
							（電車ルート案内）
										
				都営大江戸線 / 都庁前駅 徒歩7分
									（電車ルート案内）
														
				都営大江戸線 / 西新宿五丁目駅 徒歩7分
									（電車ルート案内）
									","
			東京都新宿区西新宿６丁目
							（地図を見る）
					",109.20万円,"10,977円","7,821円",アイタウン・レピア,ＳＲＣ,162戸,－,－,"
									－
							",所有権,"
									全部委託・常駐管理（三菱地所コミュニティ株式会社）
						"
"3,800万円",7階建 / 3階,"2011年12月
(築9年6ヶ月)",44.20m²,１ＬＤＫ,"
			都営浅草線 / 本所吾妻橋駅 徒歩4分
							（電車ルート案内）
										
				都営浅草線 / 浅草駅 徒歩11分
									（電車ルート案内）
														
				東武伊勢崎線 / とうきょうスカイツリー駅 徒歩10分
									（電車ルート案内）
									","
			東京都墨田区東駒形３丁目
					",85.98万円,"9,500円","4,420円",グラントレゾール駒形 303,ＲＣ,26戸,－,－,"
															相談												",所有権,"
									全部委託・巡回管理（株式会社マイムコミュニティー）
						"
"3,800万円",7階建 / 4階,"1971年6月
(築50年)",55.37m²,２ＬＤＫ,"
			京王線 / 千歳烏山駅 徒歩10分
							（電車ルート案内）
										
				京王線 / 仙川駅 徒歩13分
									（電車ルート案内）
												","
			東京都世田谷区給田３丁目
							（地図を見る）
					",68.63万円,"8,410円","8,960円",給田北住宅,ＲＣ,47戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",13階建 / 8階,"2003年5月
(築18年1ヶ月)",26.12m²,ワンルーム,"
			東京メトロ日比谷線 / 東銀座駅 徒歩3分
							（電車ルート案内）
										
				東京メトロ銀座線 / 銀座駅 徒歩6分
									（電車ルート案内）
														
				東京メトロ有楽町線 / 銀座一丁目駅 徒歩4分
									（電車ルート案内）
									","
			東京都中央区銀座２丁目
							（地図を見る）
					",145.49万円,"8,600円","3,700円",アヴァンティーク銀座２丁目,ＳＲＣ,84戸,－,－,"
									－
							",所有権,"
									巡回管理
						"
"3,800万円",13階建 / 11階,"2004年2月
(築17年4ヶ月)",24.68m²,１Ｋ,"
			東京メトロ日比谷線 / 東銀座駅 徒歩3分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 築地駅 徒歩6分
									（電車ルート案内）
														
				東京メトロ銀座線 / 銀座駅 徒歩7分
									（電車ルート案内）
									","
			東京都中央区銀座４丁目
							（地図を見る）
					",153.98万円,"6,100円","4,850円",ファミールグラン銀座４丁目オーセンティア 11F,ＳＲＣ,96戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（三菱地所コミュニティ(株)）
						"
"3,800万円",地上17階地下1階建 / 6階,"2005年7月
(築15年11ヶ月)",34.93m²,１ＤＫ,"
			東京メトロ半蔵門線 / 水天宮前駅 徒歩1分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 人形町駅 徒歩5分
									（電車ルート案内）
														
				東京メトロ日比谷線 / 茅場町駅 徒歩9分
									（電車ルート案内）
									","
			東京都中央区日本橋蛎殻町１丁目
					",108.79万円,"13,400円","7,820円",ブロードシティ東京,ＳＲＣ,181戸,"有 45,000円/月",－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,800万円",7階建 / 4階,"2001年11月
(築19年7ヶ月)",40.63m²,１ＬＤＫ,"
			東京メトロ半蔵門線 / 水天宮前駅 徒歩3分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 人形町駅 徒歩10分
									（電車ルート案内）
														
				東京メトロ東西線 / 茅場町駅 徒歩11分
									（電車ルート案内）
									","
			東京都中央区日本橋箱崎町
					",93.53万円,"7,600円","4,500円",パレステュディオ日本橋東,ＲＣ,54戸,無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",8階建 / 3階,"1971年10月
(築49年8ヶ月)",54.79m²,２ＬＤＫ,"
			ＪＲ総武線 / 東中野駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 東中野駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ東西線 / 落合駅 徒歩8分
									（電車ルート案内）
									","
			東京都中野区東中野１丁目
							（地図を見る）
					",69.36万円,"11,310円","10,958円", ,ＲＣ,28戸,－,－,"
									－
							",所有権,"
									自主管理
						"
"3,800万円",8階建 / 3階,"1971年10月
(築49年8ヶ月)",54.79m²,２ＬＤＫ,"
			ＪＲ総武線 / 東中野駅 徒歩1分
							（電車ルート案内）
										
				都営大江戸線 / 東中野駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ東西線 / 落合駅 徒歩9分
									（電車ルート案内）
									","
			東京都中野区東中野１丁目
							（地図を見る）
					",69.36万円,"11,310円","10,958円",東中野コーポ,ＲＣ,26戸,－,－,"
															小型犬可 											規約制限あります												",所有権,"
									自主管理
						"
"3,800万円",11階建 / 2階,"2000年2月
(築21年4ヶ月)",70.14m²,３ＬＤＫ,"
			西武新宿線 / 武蔵関駅 徒歩2分
							（電車ルート案内）
										
				ＪＲ中央線 / 吉祥寺駅【バス】 16分 武蔵関駅入口 停歩1分
									（電車ルート案内）
														
				西武池袋線 / 大泉学園駅【バス】 18分 武蔵関駅入口 停歩2分
									（電車ルート案内）
									","
			東京都練馬区関町北１丁目
							（地図を見る）
					",54.18万円,"7,720円","12,667円",ザ・ウィンベル練馬武蔵関,ＳＲＣ,127戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",10階建 / 4階,"1995年11月
(築25年7ヶ月)",73.52m²,４ＬＤＫ,"
			京王線 / 府中駅 徒歩15分
							（電車ルート案内）
										
				ＪＲ武蔵野線 / 北府中駅 徒歩9分
									（電車ルート案内）
												","
			東京都府中市晴見町１丁目
							（地図を見る）
					",51.69万円,"15,150円","19,870円",武蔵野線　北府中駅　晴見町１丁目　マンション　ユニバーサル２課,ＲＣ,50戸,"有 22,000円/月","有 1,000円/月","
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",5階建 / 1階,"2001年5月
(築20年1ヶ月)",73.04m²,２ＬＤＫ,"
			ＪＲ南武線 / 府中本町駅 徒歩2分
							（電車ルート案内）
										
				ＪＲ武蔵野線 / 府中本町駅 徒歩2分
									（電車ルート案内）
														
				京王線 / 府中駅 徒歩12分
									（電車ルート案内）
									","
			東京都府中市本町１丁目
							（地図を見る）
					",52.03万円,"14,600円","16,800円",ジュエリーコート府中,ＲＣ,17戸,－,－,"
															相談												",所有権,"
									全部委託・巡回管理
						"
"3,800万円",8階建 / 8階,"2015年5月
(築6年1ヶ月)",55.76m²,２ＬＤＫ,"
			京王線 / 東府中駅 徒歩9分
							（電車ルート案内）
										
				京王線 / 府中駅 徒歩10分
									（電車ルート案内）
												","
			東京都府中市緑町２丁目
							（地図を見る）
					",68.15万円,"14,700円","3,630円",メイクスデザイン府中,ＲＣ,57戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,800万円",8階建 / 8階,"2015年5月
(築6年1ヶ月)",55.76m²,２ＬＤＫ,"
			京王線 / 東府中駅 徒歩9分
							（電車ルート案内）
										
				京王線 / 府中駅 徒歩10分
									（電車ルート案内）
												","
			東京都府中市緑町２丁目
							（地図を見る）
					",68.15万円,"14,700円","3,630円",メイクスデザイン府中,ＲＣ,57戸,"有 10,000円/月",－,"
															相談												",所有権,"
									全部委託・巡回管理
						"
"3,800万円",4階建 / 1階,"1973年3月
(築48年3ヶ月)",41.51m²,１ＳＬＤＫ,"
			東京メトロ日比谷線 / 広尾駅 徒歩6分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 六本木駅 徒歩12分
									（電車ルート案内）
														
				都営大江戸線 / 麻布十番駅 徒歩13分
									（電車ルート案内）
									","
			東京都港区西麻布３丁目
							（地図を見る）
					",91.55万円,"6,550円","10,340円",西麻布アネックス,ＲＣ,16戸,－,－,"
									－
							",所有権,"
									全部委託・常駐管理
						"
"3,800万円",13階建 / 7階,"2014年4月
(築7年2ヶ月)",25.50m²,１Ｋ,"
			都営大江戸線 / 赤羽橋駅 徒歩7分
							（電車ルート案内）
										
				都営浅草線 / 三田駅 徒歩9分
									（電車ルート案内）
														
				都営三田線 / 三田駅 徒歩9分
									（電車ルート案内）
									","
			東京都港区三田２丁目
							（地図を見る）
					",149.02万円,"7,300円","1,790円",コンシェリア三田,ＲＣ,79戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"3,800万円",9階建 / 4階,"2016年11月
(築4年7ヶ月)",29.05m²,１ＤＫ,"
			東急東横線 / 都立大学駅 徒歩5分
							（電車ルート案内）
											","
			東京都目黒区中根１丁目
							（地図を見る）
					",130.81万円,"7,000円","3,500円",ズーム都立大学,ＲＣ,39戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"3,800万円",9階建 / 4階,"2016年10月
(築4年8ヶ月)",29.05m²,１ＤＫ,"
			東急東横線 / 都立大学駅 徒歩5分
							（電車ルート案内）
										
				東急大井町線 / 自由が丘駅 徒歩15分
									（電車ルート案内）
														
				東急東横線 / 自由が丘駅 徒歩15分
									（電車ルート案内）
									","
			東京都目黒区中根１丁目
							（地図を見る）
					",130.81万円,"9,150円","3,500円",ＺＯＯＭ都立大学,ＲＣ,39戸,－,－,"
									－
							",所有権,"
									巡回管理
						"
"3,800万円",9階建 / 4階,"2016年11月
(築4年7ヶ月)",29.05m²,１ＤＫ,"
			東急東横線 / 都立大学駅 徒歩5分
							（電車ルート案内）
											","
			東京都目黒区中根１丁目
					",130.81万円,"7,000円","3,500円",ＺＯＯＭ都立大学,ＲＣ,39戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"3,800万円",9階建 / 6階,"1984年8月
(築36年10ヶ月)",40.73m²,ワンルーム,"
			東京メトロ日比谷線 / 中目黒駅 徒歩4分
							（電車ルート案内）
										
				東急東横線 / 中目黒駅 徒歩4分
									（電車ルート案内）
												","
			東京都目黒区中目黒１丁目
							（地図を見る）
					",93.30万円,"20,060円","25,960円",マートルコート中目黒,ＳＲＣ,38戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理（㈱東急コミュニティー）
						"
"3,810万円",地上13階地下1階建 / 2階,"2004年9月
(築16年9ヶ月)",33.58m²,１ＬＤＫ,"
			東京メトロ丸ノ内線 / 四谷三丁目駅 徒歩1分
							（電車ルート案内）
											","
			東京都新宿区四谷３丁目
							（地図を見る）
					",113.47万円,"7,800円","4,600円",グランアビテ四谷三丁目ステーションフロント,ＲＣ,69戸,無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",11階建 / 5階,"2010年6月
(築11年)",40.00m²,２Ｋ,"
			東京メトロ日比谷線 / 入谷駅 徒歩8分
							（電車ルート案内）
										
				つくばエクスプレス / 浅草駅 徒歩7分
									（電車ルート案内）
														
				東京メトロ銀座線 / 田原町駅 徒歩13分
									（電車ルート案内）
									","
			東京都台東区千束１丁目
							（地図を見る）
					",97万円,"11,200円","3,670円",日神デュオステージ浅草ＩＩ,ＲＣ,40戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",11階建 / 3階,"2015年11月
(築5年7ヶ月)",40.95m²,１ＤＫ,"
			つくばエクスプレス / 浅草駅 徒歩7分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 入谷駅 徒歩9分
									（電車ルート案内）
												","
			東京都台東区千束３丁目
							（地図を見る）
					",94.75万円,"10,900円","7,700円",ルクシェール浅草,ＲＣ,29戸,－,－,"
															相談												",所有権,"
									巡回管理
						"
"3,880万円",地上13階地下1階建 / 10階,"2007年3月
(築14年3ヶ月)",42.56m²,１ＬＤＫ,"
			東京メトロ日比谷線 / 仲御徒町駅 徒歩2分
							（電車ルート案内）
										
				都営大江戸線 / 上野御徒町駅 徒歩4分
									（電車ルート案内）
														
				ＪＲ山手線 / 御徒町駅 徒歩5分
									（電車ルート案内）
									","
			東京都台東区台東３丁目
							（地図を見る）
					",91.17万円,"10,900円","11,000円",日神デュオステージ御徒町,ＲＣ,74戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",9階建 / 9階,"1989年8月
(築31年10ヶ月)",44.95m²,１ＬＤＫ,"
			ＪＲ山手線 / 御徒町駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 仲御徒町駅 徒歩2分
									（電車ルート案内）
												","
			東京都台東区台東３丁目
					",86.32万円,"21,525円","6,740円",スカイノブレ御徒町,ＳＲＣ,49戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",12階建 / 2階,"2017年11月
(築3年7ヶ月)",35.63m²,１ＬＤＫ,"
			東京メトロ銀座線 / 田原町駅 徒歩6分
							（電車ルート案内）
										
				東京メトロ銀座線 / 稲荷町駅 徒歩8分
									（電車ルート案内）
														
				ＪＲ山手線 / 上野駅 徒歩12分
									（電車ルート案内）
									","
			東京都台東区松が谷１丁目
							（地図を見る）
					",108.90万円,"11,224円","7,150円",オープンレジデンシア上野松が谷,ＲＣ,21戸,－,－,"
															小型犬可												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",12階建 / 4階,"2017年11月
(築3年7ヶ月)",35.63m²,１ＬＤＫ,"
			東京メトロ銀座線 / 田原町駅 徒歩6分
							（電車ルート案内）
										
				つくばエクスプレス / 浅草駅 徒歩6分
									（電車ルート案内）
														
				ＪＲ山手線 / 上野駅 徒歩12分
									（電車ルート案内）
									","
			東京都台東区松が谷１丁目
							（地図を見る）
					",108.90万円,"11,224円","6,950円",オープンレジデンシア上野松が谷,ＲＣ,21戸,－,－,"
															相談												",所有権,"
									日勤管理
						"
"3,880万円",12階建 / 4階,"1987年10月
(築33年8ヶ月)",79.04m²,３ＬＤＫ,"
			ＪＲ中央線 / 立川駅 徒歩7分
							（電車ルート案内）
										
				ＪＲ青梅線 / 立川駅 徒歩7分
									（電車ルート案内）
														
				ＪＲ南武線 / 立川駅 徒歩7分
									（電車ルート案内）
									","
			東京都立川市錦町１丁目
							（地図を見る）
					",49.09万円,"10,900円","18,930円",～都市と自然が調和する街「立川」～　立川サニーコート,ＲＣ,136戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",12階建 / 4階,"1987年10月
(築33年8ヶ月)",79.04m²,３ＬＤＫ,"
			ＪＲ中央線 / 立川駅 徒歩7分
							（電車ルート案内）
											","
			東京都立川市錦町１丁目
							（地図を見る）
					",49.09万円,"10,900円","18,930円",立川サニーコート,ＲＣ,136戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
														
				京王線 / 聖蹟桜ヶ丘駅【バス】 13分 聖ヶ丘一丁目 停歩2分
									（電車ルート案内）
									","
			東京都多摩市馬引沢１丁目
					",51.29万円,"16,600円","9,990円",レーベン多摩永山ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,"有 1,500円/月","
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
														
				京王線 / 聖蹟桜ヶ丘駅【バス】 13分 聖ヶ丘一丁目 停歩2分
									（電車ルート案内）
									","
			東京都多摩市馬引沢１丁目
					",51.29万円,"16,600円","9,990円",レーベン多摩永山ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				京王線 / 聖蹟桜ヶ丘駅 徒歩29分[バス利用可] バス 12分  停歩2分
									（電車ルート案内）
														
				京王相模原線 / 京王多摩センター駅【バス】 22分 消防署前 停歩9分
									（電車ルート案内）
									","
			東京都多摩市馬引沢１丁目
							（地図を見る）
					",51.29万円,"16,600円","9,990円",レーベン多摩永山　ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
												","
			東京都多摩市馬引沢１丁目
							（地図を見る）
					",51.29万円,"16,600円","9,990円",レーベン多摩永山　ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
												","
			東京都多摩市馬引沢１丁目
					",51.29万円,"16,600円","9,990円",レーベン多摩永山ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,"有 1,500円/月","
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
														
				京王線 / 聖蹟桜ヶ丘駅【バス】 13分 聖ヶ丘一丁目 停歩2分
									（電車ルート案内）
									","
			東京都多摩市馬引沢１丁目
							（地図を見る）
					",51.29万円,"16,600円","9,990円",レーベン多摩永山ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				京王線 / 聖蹟桜ヶ丘駅【バス】 13分 聖ヶ丘一丁目 停歩2分
									（電車ルート案内）
														
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
									","
			東京都多摩市馬引沢１丁目
							（地図を見る）
					",51.29万円,"16,600円","9,990円",レーベン多摩永山　ＧＡＲＤＥＮ　ＨＩＬＬＳ,ＲＣ,78戸,空無,"有 1,500円/月","
															飼育細則有												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 6階,"2015年2月
(築6年4ヶ月)",75.66m²,３ＬＤＫ,"
			京王相模原線 / 京王永山駅 徒歩10分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩11分
									（電車ルート案内）
														
				京王線 / 聖蹟桜ヶ丘駅【バス】 13分 聖ヶ丘一丁目 停歩2分
									（電車ルート案内）
									","
			東京都多摩市馬引沢１丁目
							（地図を見る）
					",51.29万円,"16,600円","9,900円",京王永山駅　京王相模原線　馬引沢１丁目　マンション　ユニバーサル３課,ＲＣ,78戸,空無,有,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",14階建 / 11階,"2004年5月
(築17年1ヶ月)",29.25m²,１Ｋ,"
			東京メトロ丸ノ内線 / 銀座駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ日比谷線 / 東銀座駅 徒歩2分
									（電車ルート案内）
														
				東京メトロ有楽町線 / 銀座一丁目駅 徒歩4分
									（電車ルート案内）
									","
			東京都中央区銀座３丁目
							（地図を見る）
					",132.65万円,"10,500円","5,440円",クオリア銀座３丁目,ＳＲＣ,68戸,－,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",地上10階地下1階建 / 2階,"2003年2月
(築18年4ヶ月)",27.30m²,１Ｋ,"
			東京メトロ日比谷線 / 東銀座駅 徒歩4分
							（電車ルート案内）
										
				東京メトロ丸ノ内線 / 銀座駅 徒歩9分
									（電車ルート案内）
														
				都営大江戸線 / 築地市場駅 徒歩2分
									（電車ルート案内）
									","
			東京都中央区銀座７丁目
							（地図を見る）
					",142.13万円,"8,900円","8,190円",クオリア銀座,ＳＲＣ,107戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",7階建 / 2階,"2007年11月
(築13年7ヶ月)",61.48m²,２ＬＤＫ,"
			京王線 / 柴崎駅 徒歩9分
							（電車ルート案内）
										
				京王線 / つつじヶ丘駅 徒歩11分
									（電車ルート案内）
												","
			東京都調布市西つつじケ丘１丁目
							（地図を見る）
					",63.11万円,"14,390円","16,230円",レヴィールつつじヶ丘,ＲＣ,－,空無,有,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",8階建 / 5階,"2002年3月
(築19年3ヶ月)",22.52m²,１Ｋ,"
			東京メトロ有楽町線 / 麹町駅 徒歩2分
							（電車ルート案内）
										
				東京メトロ半蔵門線 / 半蔵門駅 徒歩3分
									（電車ルート案内）
												","
			東京都千代田区麹町３丁目
							（地図を見る）
					",172.30万円,"7,400円","7,880円",東急ドエル・グラフィオ麹町,ＲＣ,32戸,空無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
"3,880万円",12階建 / 4階,"1978年4月
(築43年2ヶ月)",48.30m²,２ＤＫ,"
			ＪＲ山手線 / 駒込駅 徒歩4分
							（電車ルート案内）
										
				東京メトロ南北線 / 駒込駅 徒歩5分
									（電車ルート案内）
														
				ＪＲ京浜東北線 / 田端駅 徒歩16分
									（電車ルート案内）
									","
			東京都豊島区駒込１丁目
							（地図を見る）
					",80.34万円,"8,300円","11,580円",トーア駒込,ＲＣ,138戸,空無,空無,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",地上13階地下1階建 / 11階,"1999年3月
(築22年3ヶ月)",31.28m²,１ＤＫ,"
			ＪＲ山手線 / 池袋駅 徒歩3分
							（電車ルート案内）
											","
			東京都豊島区南池袋１丁目
							（地図を見る）
					",124.05万円,"8,290円","7,510円",イトーピアアルファシティ池袋,ＳＲＣ,61戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",地上5階地下1階建 / 1階,"2018年3月
(築3年3ヶ月)",25.82m²,ワンルーム,"
			都営大江戸線 / 中野坂上駅 徒歩3分
							（電車ルート案内）
										
				東京メトロ丸ノ内線 / 中野坂上駅 徒歩3分
									（電車ルート案内）
												","
			東京都中野区中央１丁目
							（地図を見る）
					",150.28万円,"9,000円","3,100円",ピアース中野坂上,ＲＣ,47戸,－,－,"
															小型犬可 											猫可 											モリモトクオリティ												",所有権,"
									全部委託・日勤管理（モリモトクオリティ）
						"
"3,880万円",4階建 / 3階,"1996年3月
(築25年3ヶ月)",54.35m²,２ＬＤＫ,"
			西武新宿線 / 都立家政駅 徒歩6分
							（電車ルート案内）
										
				西武新宿線 / 鷺ノ宮駅 徒歩10分
									（電車ルート案内）
												","
			東京都練馬区中村南１丁目
							（地図を見る）
					",71.39万円,"12,310円","10,710円", ,ＲＣ,－,"【水回り】
水回りの位置変更/キッチン/浴室/トイレ/洗面所
【内装】
内装全面（床・壁・天井・建具）",,－,有 無料,所有権
"3,880万円",4階建 / 4階,"2010年8月
(築10年10ヶ月)",46.70m²,２ＬＤＫ,"
			西武新宿線 / 都立家政駅 徒歩6分
							（電車ルート案内）
										
				西武新宿線 / 鷺ノ宮駅 徒歩11分
									（電車ルート案内）
														
				西武池袋線 / 中村橋駅 徒歩20分
									（電車ルート案内）
									","
			東京都練馬区中村南２丁目
							（地図を見る）
					",83.09万円,"10,200円","5,000円",コフレ都立家政,ＲＣ,36戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
"3,880万円",10階建 / 4階,"2016年10月
(築4年8ヶ月)",75.47m²,３ＬＤＫ,"
			ＪＲ中央線 / 高尾駅 徒歩6分
							（電車ルート案内）
										
				京王高尾線 / 高尾駅 徒歩6分
									（電車ルート案内）
												","
			東京都八王子市東浅川町
							（地図を見る）
					",51.42万円,"10,400円","6,300円",プレミスト高尾サクラシティ　中古マンション,ＲＣ,416戸,空無,－,"
															相談												",所有権,"
									全部委託・日勤管理
						"
"3,880万円",6階建 / 3階,"1997年3月
(築24年3ヶ月)",68.21m²,３ＬＤＫ,"
			ＪＲ中央線 / 国分寺駅 徒歩15分
							（電車ルート案内）
										
				ＪＲ中央線 / 国分寺駅【バス】 11分 新町三丁目 停歩1分
									（電車ルート案内）
														
				ＪＲ中央線 / 武蔵小金井駅【バス】 10分 貫井南町五丁目 停歩1分
									（電車ルート案内）
									","
			東京都府中市新町３丁目
					",56.89万円,"18,550円","19,580円",ルネサンスフォルム国分寺,ＲＣ,22戸,－,－,"
															相談												",所有権,"
									日勤管理
						"
"3,880万円",8階建 / 3階,"1997年3月
(築24年3ヶ月)",69.93m²,３ＬＤＫ,"
			京王線 / 中河原駅 徒歩7分
							（電車ルート案内）
											","
			東京都府中市住吉町５丁目
					",55.49万円,"11,400円","10,500円",リーベスト府中多摩川,ＲＣ,89戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
"3,880万円",地上8階地下3階建 / 3階,"1997年3月
(築24年3ヶ月)",69.93m²,３ＬＤＫ,"
			京王線 / 中河原駅 徒歩7分
							（電車ルート案内）
										
				京王線 / 聖蹟桜ヶ丘駅 徒歩19分
									（電車ルート案内）
														
				ＪＲ南武線 / 西府駅 徒歩24分
									（電車ルート案内）
									","
			東京都府中市住吉町５丁目
							（地図を見る）
					",55.49万円,"11,400円","10,500円",「ペット飼育可」リーベスト府中多摩川　リノベ,ＲＣ,89戸,"有 13,000円/月",有 500円/月,"
															相談												",所有権,"
									全部委託・日勤管理
						"
