価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
320万円,8階建 / 3階,"1993年11月
(築27年7ヶ月)",15.59m²,ワンルーム,"
			ＪＲ中央線 / 西八王子駅【バス】 20分 四谷北 停歩2分
							（電車ルート案内）
											","
			東京都八王子市四谷町
							（地図を見る）
					",20.53万円,"4,900円","2,000円",共立リライアンス四谷　中古マンション,ＳＲＣ,136戸,－,－,"
									－
							",所有権,"
									一部委託・巡回管理
						"
320万円,6階建 / 5階,"1991年5月
(築30年1ヶ月)",15.95m²,ワンルーム,"
			ＪＲ中央線 / 豊田駅 徒歩16分
							（電車ルート案内）
										
				ＪＲ八高線 / 北八王子駅 徒歩17分
									（電車ルート案内）
												","
			東京都日野市旭が丘２丁目
							（地図を見る）
					",20.07万円,"5,500円","4,000円",スカイコート八王子第三,ＲＣ,52戸,空無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
330万円,4階建 / 2階,"1991年9月
(築29年9ヶ月)",14.62m²,ワンルーム,"
			西武拝島線 / 武蔵砂川駅 徒歩9分
							（電車ルート案内）
											","
			東京都立川市砂川町８丁目
							（地図を見る）
					",22.58万円,"2,193円","1,462円",武蔵砂川ロイヤルハイツ,鉄骨造,16戸,－,－,"
									－
							",所有権,"
									一部委託・巡回管理
						"
330万円,6階建 / 4階,"1991年5月
(築30年1ヶ月)",15.95m²,ワンルーム,"
			ＪＲ中央線 / 豊田駅 徒歩16分
							（電車ルート案内）
											","
			東京都日野市旭が丘２丁目
							（地図を見る）
					",20.69万円,"5,500円","4,105円",スカイコート八王子第３,ＲＣ,－,"有 7,000円/月",－,"
									－
							",所有権,"
									全部委託・巡回管理（スカイサービス株式会社）
						"
340万円,6階建 / 1階,"1986年3月
(築35年3ヶ月)",16.10m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅 徒歩13分
							（電車ルート案内）
											","
			東京都八王子市天神町
							（地図を見る）
					",21.12万円,"6,300円","2,140円", ,ＲＣ,118戸,無,有 無料,"
									－
							",所有権,"
									全部委託・日勤管理（㈱エヌティーコーポレーション）
						"
345万円,5階建 / 4階,"1982年11月
(築38年7ヶ月)",15.34m²,ワンルーム,"
			京王線 / 京王八王子駅 徒歩7分
							（電車ルート案内）
										
				ＪＲ中央線 / 八王子駅 徒歩12分
									（電車ルート案内）
														
				ＪＲ横浜線 / 八王子駅 徒歩12分
									（電車ルート案内）
									","
			東京都八王子市明神町１丁目
							（地図を見る）
					",22.50万円,"6,000円","3,000円",メゾンドノア明神町,ＲＣ,63戸,無,有,"
									－
							",所有権,"
									全部委託・日勤管理
						"
350万円,4階建 / 3階,"1984年2月
(築37年4ヶ月)",16.20m²,ワンルーム,"
			多摩モノレール / 大塚・帝京大学駅 徒歩9分
							（電車ルート案内）
										
				京王相模原線 / 京王多摩センター駅 徒歩19分
									（電車ルート案内）
														
				京王線 / 聖蹟桜ヶ丘駅【バス】 10分 帝京大学入口 停歩4分
									（電車ルート案内）
									","
			東京都八王子市大塚
							（地図を見る）
					",21.61万円,"6,000円","6,000円",アートイン大塚,ＲＣ,46戸,－,－,"
									－
							",所有権,"
									一部委託・日勤管理
						"
350万円,6階建 / 3階,"1988年10月
(築32年8ヶ月)",16.50m²,１Ｋ,"
			京王線 / 京王八王子駅 徒歩10分
							（電車ルート案内）
										
				ＪＲ中央線 / 八王子駅 徒歩17分
									（電車ルート案内）
														
				ＪＲ横浜線 / 八王子駅 徒歩20分
									（電車ルート案内）
									","
			東京都八王子市大和田町５丁目
							（地図を見る）
					",21.22万円,"5,980円","4,000円",グランデール八王子,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（ウィッツコミュニティー）
						"
350万円,地上5階地下1階建 / 3階,"1992年2月
(築29年4ヶ月)",18.62m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅【バス】 20分 尾崎 停歩2分
							（電車ルート案内）
											","
			東京都八王子市左入町
							（地図を見る）
					",18.80万円,"6,000円","2,000円",ヒルズ八王子 305,ＲＣ,－,空無,有,"
									－
							",所有権,"
									全部委託・巡回管理（コムエステートサービス株式会社）
						"
350万円,6階建 / 4階,"1983年9月
(築37年9ヶ月)",16.22m²,ワンルーム,"
			京王高尾線 / 狭間駅 徒歩2分
							（電車ルート案内）
										
				京王高尾線 / 狭間駅 徒歩2分
									（電車ルート案内）
														
				ＪＲ中央線 / 高尾駅 徒歩14分
									（電車ルート案内）
									","
			東京都八王子市狭間町
							（地図を見る）
					",21.58万円,"5,500円","4,000円",メゾン・ド・ノア狭間 417,ＲＣ,75戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理（アクシスアンドプロマックス）
						"
350万円,6階建 / 5階,"1991年5月
(築30年1ヶ月)",15.95m²,ワンルーム,"
			ＪＲ中央線 / 豊田駅 徒歩16分
							（電車ルート案内）
										
				ＪＲ八高線 / 北八王子駅 徒歩17分
									（電車ルート案内）
												","
			東京都日野市旭が丘２丁目
							（地図を見る）
					",21.95万円,"5,500円","4,000円",スカイコート八王子第三,ＲＣ,52戸,空無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
354万円,10階建 / 4階,"1990年1月
(築31年5ヶ月)",18.90m²,１Ｋ,"
			ＪＲ中央線 / 西八王子駅 徒歩12分
							（電車ルート案内）
										
				京王高尾線 / 山田駅 徒歩29分
									（電車ルート案内）
												","
			東京都八王子市八木町
							（地図を見る）
					",18.74万円,"4,700円","2,000円", ,ＳＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（大我管理センター）
						"
355万円,3階建 / 3階,"1980年2月
(築41年4ヶ月)",35.84m²,２ＤＫ,"
			ＪＲ青梅線 / 東青梅駅【バス】 18分 自治会館前 停歩1分
							（電車ルート案内）
										
				西武池袋線 / 飯能駅 徒歩70分[バス利用可] バス 19分 成木２丁目自治会館前 停歩1分
									（電車ルート案内）
														
				ＪＲ青梅線 / 青梅駅【バス】 29分 自治会館前 停歩1分
									（電車ルート案内）
									","
			東京都青梅市成木２丁目
							（地図を見る）
					",9.91万円,"1,500円","7,600円", ,ＲＣ,－,－,－,"
									－
							",所有権,"
									自主管理
						"
