,price,occupancy_area,room_layout,address,management_expenses,reserve_fund_for_repairs,building_structure,total_number_of_houses,parking,bike_parking,pet,land_rights,management,rank,floor_number,building_age,route,station,walk_distance,running_cost,parking_cost
4594,104800000,59.33,２ＬＤＫ,渋谷区,17000,7150,ＲＣ,103,有,,小型犬可 											猫可,所有権,全部委託・日勤管理,8,5,9,東京メトロ日比谷線, 恵比寿駅,4,24150,37000
4595,104800000,79.29,２ＬＤＫ,新宿区,20600,19770,ＲＣ,157,有,,相談,所有権,,19,9,18,都営大江戸線, 牛込柳町駅,2,40370,
4596,104800000,74.64,３ＬＤＫ,新宿区,22090,10450,ＲＣ,179,,,相談,定期借地権（地上権）,,27,15,7,東京メトロ丸ノ内線, 西新宿駅,4,32540,
4597,104800000,81.36,２ＬＤＫ,新宿区,15100,21560,ＲＣ,146,,,相談,所有権,全部委託・日勤管理,21,11,19,東京メトロ東西線, 神楽坂駅,8,36660,
4598,104800000,70.67,２ＬＤＫ,新宿区,25600,10530,ＲＣ,42,空無,,相談,所有権,全部委託・日勤管理,13,4,2,都営大江戸線, 牛込神楽坂駅,3,36130,
4599,104800000,82.72,３ＬＤＫ,墨田区,19100,12150,ＳＲＣ,644,,,小型犬可,所有権,全部委託・常駐管理,45,13,15,ＪＲ総武線, 錦糸町駅,6,31250,
4600,104800000,105.17,３ＬＤＫ,世田谷区,39267,10500,ＲＣ,19,,,相談,所有権,全部委託・日勤管理,5,4,13,東急大井町線, 上野毛駅,7,49767,
4601,104800000,91.86,２ＬＤＫ,世田谷区,27470,16300,ＲＣ,32,,,相談,所有権,全部委託・日勤管理,5,4,11,東急田園都市線, 三軒茶屋駅,6,43770,
4602,104800000,87.87,４ＬＤＫ,世田谷区,24727,18830,ＲＣ,42,有,有,小型犬可 											猫可,所有権,全部委託・日勤管理,5,1,6,東急田園都市線, 二子玉川駅,5,43557,23000
4603,104800000,73.22,３ＬＤＫ,中央区,17600,9530,ＲＣ,102,,,相談,所有権,,12,3,2,東京メトロ有楽町線, 新富町駅,2,27130,
4604,104800000,89.83,３ＬＤＫ,中央区,20000,7800,ＲＣ,356,有,,,所有権,全部委託・日勤管理,32,20,17,東京メトロ有楽町線, 月島駅,1,27800,50000
4605,104800000,71.44,２ＳＬＤＫ,中央区,24600,9640,ＳＲＣ,756,,有,相談,所有権,全部委託・日勤管理,54,30,22,東京メトロ有楽町線, 月島駅,8,34240,
4606,109800000,94.24,２ＳＬＤＫ,世田谷区,20370,16030,ＲＣ,166,有,,相談,所有権,全部委託・日勤管理,6,3,21,東急大井町線, 上野毛駅,5,36400,800
4607,109800000,94.24,３ＬＤＫ,世田谷区,20370,16030,ＳＲＣ,166,有,有,相談,所有権,全部委託・日勤管理,6,3,21,東急大井町線, 上野毛駅,5,36400,800
4608,109800000,94.24,２ＳＬＤＫ,世田谷区,20370,16030,ＳＲＣ,166,有,,相談,所有権,全部委託・日勤管理,6,3,21,東急大井町線, 上野毛駅,5,36400,800
4609,109800000,94.24,２ＳＬＤＫ,世田谷区,20370,16030,ＳＲＣ,165,有,,相談,所有権,全部委託・日勤管理,6,3,21,東急大井町線, 上野毛駅,5,36400,5000
4610,109800000,94.24,３ＬＤＫ,世田谷区,20370,16030,ＳＲＣ,166,有,有,相談,所有権,全部委託・日勤管理,6,3,21,東急大井町線, 上野毛駅,5,36400,800
